titel,entwickler,erscheinungsjahr,typ,zusatz
Doom,id Software,1993,Action,hoch
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2011,RPG,Fantasy
Half-Life 2,Valve,2004,Action,mittel
Baldur's Gate 3,Larian Studios,2023,RPG,Fantasy
Counter-Strike 2,Valve,2023,Action,hoch
The Witcher 3: Wild Hunt,CD Projekt Red,2015,RPG,Fantasy
God of War,Santa Monica Studio,2018,Action,hoch
Doom Eternal,id Software,2020,Action,hoch
Horizon Zero Dawn,Guerrilla Games,2017,Action,mittel
Uncharted 4: A Thief's End,Naughty Dog,2016,Action,mittel
Shadow of the Tomb Raider,Square Enix,2018,Action,niedrig
Assassin's Creed Odyssey,Ubisoft,2018,Action,mittel
Far Cry 5,Ubisoft,2018,Action,hoch
Metro: Exodus,4A Games,2019,Action,hoch
Control,Remedy Entertainment,2019,Action,mittel
Alan Wake 2,Remedy Entertainment,2023,Action,hoch
Ghost of Tsushima,Sucker Punch Productions,2020,Action,mittel
Marvel's Spider-Man,Insomniac Games,2018,Action,hoch
Ratchet & Clank: Rift Apart,Insomniac Games,2021,Action,mittel
Returnal,Housemarque,2021,Action,hoch
Deathloop,Arkane Studios,2021,Action,mittel
Hi-Fi Rush,Tango Gameworks,2023,Action,niedrig
Atomic Heart,Mundfish,2023,Action,hoch
Lies of P,Neowiz,2023,Action,mittel
Remnant 2,Gunfire Games,2023,Action,hoch
Helldivers 2,Arrowhead Game Studios,2024,Action,hoch
Black Myth: Wukong,Game Science,2024,Action,mittel
Stellar Blade,Shift Up,2024,Action,hoch
Senua's Saga: Hellblade II,Ninja Theory,2024,Action,mittel
Prince of Persia: The Lost Crown,Ubisoft,2024,Action,niedrig
Pacific Drive,Ironwood Studios,2024,Action,mittel
Elden Ring,FromSoftware,2022,RPG,Fantasy
Cyberpunk 2077,CD Projekt Red,2020,RPG,Cyberpunk
Final Fantasy XVI,Square Enix,2023,RPG,Fantasy
Starfield,Bethesda Game Studios,2023,RPG,Sci-Fi
Dragon's Dogma 2,Capcom,2024,RPG,Fantasy
Final Fantasy VII Rebirth,Square Enix,2024,RPG,Fantasy
Metaphor: ReFantazio,Atlus,2024,RPG,Fantasy
Like a Dragon: Infinite Wealth,Ryu Ga Gotoku Studio,2024,RPG,Modern
Persona 3 Reload,Atlus,2024,RPG,Modern
Granblue Fantasy: Relink,Cygames,2024,RPG,Fantasy
Unicorn Overlord,Vanillaware,2024,RPG,Fantasy
Dragon Age: The Veilguard,BioWare,2024,RPG,Fantasy
Avowed,Obsidian Entertainment,2025,RPG,Fantasy
Kingdom Come: Deliverance II,Warhorse Studios,2025,RPG,Historical
Kunitsu-Gami: Path of the Goddess,Capcom,2024,RPG,Fantasy
Visions of Mana,Square Enix,2024,RPG,Fantasy
Warhammer 40k: Rogue Trader,Owlcat Games,2023,RPG,Sci-Fi
Pathfinder: Wrath of the Righteous,Owlcat Games,2021,RPG,Fantasy
Solasta: Crown of the Magister,Tactical Adventures,2021,RPG,Fantasy
Wartales,Shiro Games,2023,RPG,Historical
Enshrouded,Keen Games,2024,RPG,Fantasy
Palworld,Pocketpair,2024,RPG,Sci-Fi
No Rest for the Wicked,Moon Studios,2024,RPG,Fantasy
Hades,Supergiant Games,2020,RPG,Fantasy
Hades II,Supergiant Games,2025,RPG,Fantasy
